Sender 2: waiting to receive ACKS from D2...
The time out time is 380.000000 , Current time: 1367722713
The time out time is 164.625000 , Current time: 1367722713
The time out time is 135.703125 , Current time: 1367722713
The time out time is 156.806641 , Current time: 1367722713
The time out time is 128.624268 , Current time: 1367722713
The time out time is 146.802643 , Current time: 1367722713
The time out time is 132.687733 , Current time: 1367722713
The time out time is 144.482817 , Current time: 1367722713
The time out time is 131.347065 , Current time: 1367722713
The time out time is 199.302561 , Current time: 1367722713
The time out time is 205.258865 , Current time: 1367722713
The time out time is 186.743869 , Current time: 1367722713
The time out time is 206.833361 , Current time: 1367722713
The time out time is 217.914265 , Current time: 1367722713
The time out time is 268.598057 , Current time: 1367722713
The time out time is 269.601950 , Current time: 1367722713
The time out time is 275.582042 , Current time: 1367722713
The time out time is 476.543205 , Current time: 1367722713
The time out time is 453.841763 , Current time: 1367722713
The time out time is 5369131.767436 , Current time: 1367722714
The time out time is 4832298.261483 , Current time: 1367722714
The time out time is 4463182.417824 , Current time: 1367722714
The time out time is 4341537.086013 , Current time: 1367722714
The time out time is 4307467.331698 , Current time: 1367722714
The time out time is 4298492.184199 , Current time: 1367722714
The time out time is 4296171.652459 , Current time: 1367722714
The time out time is 4295588.801416 , Current time: 1367722714
The time out time is 4295445.155142 , Current time: 1367722714
The time out time is 4295404.689384 , Current time: 1367722714
The time out time is 4295397.722421 , Current time: 1367722714
The time out time is 4295395.718115 , Current time: 1367722714
The time out time is 4295394.309217 , Current time: 1367722714
The time out time is 4295405.812265 , Current time: 1367722714
The time out time is 4295413.732436 , Current time: 1367722714
The time out time is 4295406.061780 , Current time: 1367722714
The time out time is 4295410.000279 , Current time: 1367722714
The time out time is 4295414.498174 , Current time: 1367722714
The time out time is 4295420.218057 , Current time: 1367722714
The time out time is 4295430.909953 , Current time: 1367722714
The time out time is 2147738.115668 , Current time: 1367722714
The time out time is 671193.858690 , Current time: 1367722714
The time out time is 184604.818394 , Current time: 1367722714
The time out time is 48288.811314 , Current time: 1367722714
The time out time is 12376.403668 , Current time: 1367722714
The time out time is 3176.407272 , Current time: 1367722714
The time out time is 850.421362 , Current time: 1367722714
The time out time is 297.457784 , Current time: 1367722714
The time out time is 136.502251 , Current time: 1367722714
The time out time is 159.049038 , Current time: 1367722714
The time out time is 139.315194 , Current time: 1367722714
The time out time is 121.022915 , Current time: 1367722714
The time out time is 101.248743 , Current time: 1367722714
The time out time is 88.998813 , Current time: 1367722714
The time out time is 82.648032 , Current time: 1367722714
The time out time is 101.649299 , Current time: 1367722714
The time out time is 94.066986 , Current time: 1367722714
The time out time is 62.348579 , Current time: 1367722714
The time out time is 38.472374 , Current time: 1367722714
The time out time is 23.634997 , Current time: 1367722714
The time out time is 20.192112 , Current time: 1367722714
The time out time is 19.302198 , Current time: 1367722714
The time out time is 18.201071 , Current time: 1367722714
The time out time is 28.909708 , Current time: 1367722714
The time out time is 48.491107 , Current time: 1367722714
The time out time is 47.155737 , Current time: 1367722714
The time out time is 52.480554 , Current time: 1367722714
The time out time is 57.362841 , Current time: 1367722714
The time out time is 63.183548 , Current time: 1367722714
The time out time is 62.151242 , Current time: 1367722714
The time out time is 74.644730 , Current time: 1367722714
The time out time is 82.705797 , Current time: 1367722714
The time out time is 84.307026 , Current time: 1367722714
The time out time is 95.030579 , Current time: 1367722714
The time out time is 123.658122 , Current time: 1367722714
The time out time is 73.433340 , Current time: 1367722714
The time out time is 34.985686 , Current time: 1367722714
The time out time is 26.543590 , Current time: 1367722714
The time out time is 13.829294 , Current time: 1367722714
The time out time is 35.356498 , Current time: 1367722714
The time out time is 28.045271 , Current time: 1367722714
The time out time is 28.224586 , Current time: 1367722714
The time out time is 27.207805 , Current time: 1367722714
The time out time is 32.289659 , Current time: 1367722714
The time out time is 32.039628 , Current time: 1367722714
The time out time is 32.880809 , Current time: 1367722714
The time out time is 27.235315 , Current time: 1367722714
The time out time is 25.654468 , Current time: 1367722714
The time out time is 38.675572 , Current time: 1367722714
The time out time is 48.482887 , Current time: 1367722714
The time out time is 45.909971 , Current time: 1367722714
The time out time is 48.732399 , Current time: 1367722714
The time out time is 64.246213 , Current time: 1367722714
The time out time is 57.788192 , Current time: 1367722714
The time out time is 55.819128 , Current time: 1367722714
The time out time is 80.470042 , Current time: 1367722714
The time out time is 74.713168 , Current time: 1367722714
The time out time is 69.908999 , Current time: 1367722714
The time out time is 69.162338 , Current time: 1367722714
The time out time is 110.782471 , Current time: 1367722714
The time out time is 102.850853 , Current time: 1367722714
The time out time is 94.107118 , Current time: 1367722714
The time out time is 93.607330 , Current time: 1367722714
The time out time is 105.818151 , Current time: 1367722714
The time out time is 105.506578 , Current time: 1367722714
The time out time is 106.039399 , Current time: 1367722714
The time out time is 5368829.530194 , Current time: 1367722715
The time out time is 4831959.697592 , Current time: 1367722715
The time out time is 4462827.713778 , Current time: 1367722715
The time out time is 4341196.370867 , Current time: 1367722715
The time out time is 4307142.991770 , Current time: 1367722715
The time out time is 4298169.297824 , Current time: 1367722715
The time out time is 2148311.986941 , Current time: 1367722715
The time out time is 671307.985796 , Current time: 1367722715
The time out time is 184618.370082 , Current time: 1367722715
The time out time is 48260.639224 , Current time: 1367722715
The time out time is 12335.915644 , Current time: 1367722715
The time out time is 3126.323391 , Current time: 1367722715
The time out time is 792.561408 , Current time: 1367722715
The time out time is 201.825422 , Current time: 1367722715
The time out time is 56.604489 , Current time: 1367722715
The time out time is 32.794639 , Current time: 1367722715
The time out time is 17.372849 , Current time: 1367722715
The time out time is 10.521236 , Current time: 1367722715
The time out time is 8.433812 , Current time: 1367722715
The time out time is 23.333891 , Current time: 1367722715
The time out time is 15.549152 , Current time: 1367722715
The time out time is 14.289248 , Current time: 1367722715
The time out time is 14.060057 , Current time: 1367722715
The time out time is 27.513482 , Current time: 1367722715
The time out time is 20.815679 , Current time: 1367722715
The time out time is 13.071083 , Current time: 1367722715
The time out time is 27.001166 , Current time: 1367722715
The time out time is 16.498216 , Current time: 1367722715
The time out time is 18.311795 , Current time: 1367722715
The time out time is 24.288854 , Current time: 1367722715
The time out time is 23.192327 , Current time: 1367722715
The time out time is 23.031846 , Current time: 1367722715
The time out time is 23.005932 , Current time: 1367722715
The time out time is 20.376229 , Current time: 1367722715
The time out time is 20.047151 , Current time: 1367722715
The time out time is 14.755924 , Current time: 1367722715
The time out time is 18.469498 , Current time: 1367722715
The time out time is 32.433689 , Current time: 1367722715
The time out time is 43.304212 , Current time: 1367722715
The time out time is 33.881777 , Current time: 1367722715
The time out time is 45.852410 , Current time: 1367722715
The time out time is 42.885848 , Current time: 1367722715
The time out time is 39.586805 , Current time: 1367722715
The time out time is 37.348619 , Current time: 1367722715
The time out time is 30.424895 , Current time: 1367722715
The time out time is 22.929691 , Current time: 1367722715
The time out time is 44.335356 , Current time: 1367722715
The time out time is 36.159206 , Current time: 1367722715
The time out time is 33.611722 , Current time: 1367722715
The time out time is 46.630671 , Current time: 1367722715
The time out time is 31.842385 , Current time: 1367722715
The time out time is 48.827436 , Current time: 1367722715
The time out time is 41.283964 , Current time: 1367722715
The time out time is 35.174379 , Current time: 1367722715
The time out time is 41.212768 , Current time: 1367722715
The time out time is 27.793089 , Current time: 1367722715
The time out time is 22.603259 , Current time: 1367722715
The time out time is 73.138938 , Current time: 1367722715
The time out time is 60.939500 , Current time: 1367722715
The time out time is 51.347971 , Current time: 1367722715
The time out time is 30.788630 , Current time: 1367722715
The time out time is 16.847362 , Current time: 1367722715
The time out time is 15.043116 , Current time: 1367722715
The time out time is 27.802188 , Current time: 1367722715
The time out time is 24.018223 , Current time: 1367722715
The time out time is 25.856765 , Current time: 1367722715
The time out time is 20.758218 , Current time: 1367722715
The time out time is 20.976308 , Current time: 1367722715
The time out time is 47.123671 , Current time: 1367722715
The time out time is 39.890867 , Current time: 1367722715
The time out time is 26.048960 , Current time: 1367722715
The time out time is 14.053021 , Current time: 1367722715
The time out time is 11.080853 , Current time: 1367722715
The time out time is 23.778663 , Current time: 1367722715
The time out time is 15.133222 , Current time: 1367722715
The time out time is 62.869375 , Current time: 1367722715
The time out time is 44.353102 , Current time: 1367722715
The time out time is 28.167745 , Current time: 1367722715
The time out time is 15.364370 , Current time: 1367722715
The time out time is 6.912647 , Current time: 1367722715
The time out time is 5368741.518356 , Current time: 1367722716
The time out time is 2281731.603363 , Current time: 1367722716
The time out time is 687888.303813 , Current time: 1367722716
The time out time is 186675.376325 , Current time: 1367722716
The time out time is 48518.975378 , Current time: 1367722716
The time out time is 12369.229006 , Current time: 1367722716
The time out time is 3134.242897 , Current time: 1367722716
The time out time is 801.365180 , Current time: 1367722716
The time out time is 209.504352 , Current time: 1367722716
The time out time is 59.115220 , Current time: 1367722716
The time out time is 24.152447 , Current time: 1367722716
The time out time is 13.334817 , Current time: 1367722716
The time out time is 27.808292 , Current time: 1367722716
The time out time is 48.448897 , Current time: 1367722716
The time out time is 45.424327 , Current time: 1367722716
The time out time is 38.270095 , Current time: 1367722716
The time out time is 23.088025 , Current time: 1367722716
The time out time is 51.149569 , Current time: 1367722716
The time out time is 38.709588 , Current time: 1367722716
The time out time is 29.542671 , Current time: 1367722716
The time out time is 19.993827 , Current time: 1367722716
The time out time is 21.011977 , Current time: 1367722716
The time out time is 22.785934 , Current time: 1367722716
The time out time is 33.856851 , Current time: 1367722716
The time out time is 44.359259 , Current time: 1367722716
The time out time is 46.264195 , Current time: 1367722716
The time out time is 43.525346 , Current time: 1367722716
The time out time is 76.594999 , Current time: 1367722716
The time out time is 72.831707 , Current time: 1367722716
The time out time is 77.637047 , Current time: 1367722716
The time out time is 74.525402 , Current time: 1367722716
The time out time is 78.458368 , Current time: 1367722716
The time out time is 93.311719 , Current time: 1367722716
The time out time is 87.290071 , Current time: 1367722716
The time out time is 92.380285 , Current time: 1367722716
The time out time is 103.821042 , Current time: 1367722716
The time out time is 99.983507 , Current time: 1367722716
The time out time is 110.968158 , Current time: 1367722716
The time out time is 102.144824 , Current time: 1367722716
The time out time is 109.867804 , Current time: 1367722716
The time out time is 113.102151 , Current time: 1367722716
The time out time is 124.011188 , Current time: 1367722716
The time out time is 131.782253 , Current time: 1367722716
The time out time is 141.574245 , Current time: 1367722716
The time out time is 134.565897 , Current time: 1367722716
The time out time is 130.694266 , Current time: 1367722716
The time out time is 130.117666 , Current time: 1367722716
The time out time is 86.522429 , Current time: 1367722716
The time out time is 57.817234 , Current time: 1367722716
The time out time is 54.915137 , Current time: 1367722716
The time out time is 53.567638 , Current time: 1367722716
The time out time is 31.028016 , Current time: 1367722716
The time out time is 35.524017 , Current time: 1367722716
The time out time is 26.195631 , Current time: 1367722716
The time out time is 27.088236 , Current time: 1367722716
The time out time is 20.433225 , Current time: 1367722716
The time out time is 13.440952 , Current time: 1367722716
The time out time is 19.276819 , Current time: 1367722716
The time out time is 25.183777 , Current time: 1367722716
The time out time is 49.404016 , Current time: 1367722716
The time out time is 51.552013 , Current time: 1367722716
The time out time is 62.131879 , Current time: 1367722716
The time out time is 75.063454 , Current time: 1367722716
The time out time is 72.863424 , Current time: 1367722716
The time out time is 72.228051 , Current time: 1367722716
The time out time is 98.183537 , Current time: 1367722716
The time out time is 93.530450 , Current time: 1367722716
The time out time is 117.630683 , Current time: 1367722716
The time out time is 106.501180 , Current time: 1367722716
The time out time is 99.636984 , Current time: 1367722716
The time out time is 113.004457 , Current time: 1367722716
The time out time is 105.106766 , Current time: 1367722716
The time out time is 92.758648 , Current time: 1367722716
The time out time is 111.718657 , Current time: 1367722716
The time out time is 103.214538 , Current time: 1367722716
The time out time is 116.745494 , Current time: 1367722716
The time out time is 105.522856 , Current time: 1367722716
The time out time is 89.172774 , Current time: 1367722716
The time out time is 84.142201 , Current time: 1367722716
The time out time is 77.704176 , Current time: 1367722716
The time out time is 73.165872 , Current time: 1367722716
The time out time is 39.383947 , Current time: 1367722716
The time out time is 27.201296 , Current time: 1367722716
The time out time is 5368726.032238 , Current time: 1367722717
The time out time is 2281714.943299 , Current time: 1367722717
The time out time is 687874.102730 , Current time: 1367722717
The time out time is 186653.196546 , Current time: 1367722717
The time out time is 48538.570494 , Current time: 1367722717
The time out time is 12414.676543 , Current time: 1367722717
The time out time is 3179.767126 , Current time: 1367722717
The time out time is 828.360280 , Current time: 1367722717
The time out time is 255.923632 , Current time: 1367722717
The time out time is 104.772603 , Current time: 1367722717
The time out time is 62.354613 , Current time: 1367722717
The time out time is 39.015086 , Current time: 1367722717
The time out time is 30.525826 , Current time: 1367722717
The time out time is 25.977963 , Current time: 1367722717
The time out time is 29.569054 , Current time: 1367722717
The time out time is 32.589084 , Current time: 1367722717
The time out time is 25.953124 , Current time: 1367722717
The time out time is 25.120262 , Current time: 1367722717
The time out time is 25.015313 , Current time: 1367722717
The time out time is 49.376984 , Current time: 1367722717
The time out time is 41.047141 , Current time: 1367722717
The time out time is 35.943397 , Current time: 1367722717
The time out time is 25.414801 , Current time: 1367722717
The time out time is 44.063569 , Current time: 1367722717
The time out time is 28.698376 , Current time: 1367722717
The time out time is 17.697404 , Current time: 1367722717
The time out time is 10.614702 , Current time: 1367722717
The time out time is 10.208720 , Current time: 1367722717
The time out time is 30.059060 , Current time: 1367722717
The time out time is 55.515625 , Current time: 1367722717
The time out time is 44.129014 , Current time: 1367722717
The time out time is 41.719767 , Current time: 1367722717
The time out time is 37.672131 , Current time: 1367722717
The time out time is 25.104556 , Current time: 1367722717
The time out time is 34.393205 , Current time: 1367722717
